year,application_number,claim,filed_date,authors,primary_examiner,asst_examiner,patented
2014,14146617,system comprising gravity fed container assembly comprising container lid configured cover chamber spray coating supply container wherein chamber configured hold spray material filter assembly within chamber configured filter spray material chamber valve coupled filter assembly configured open container couples spray device wherein valve configured move filter assembly first position second position wherein first position blocks filter assembly filtering spray material second position enables filtering spray material wherein container comprises conical bottom wall valve comprises circular portion configured seal conical bottom wall valve comprises base portion coupled circular portion base portion comprising ribs panels configured allow spray material pass valve second position,"January 2, 2014",['Bierie; William K.']," Boeckmann; Jason
", ,1
2014,14146796,steam diffusing apparatus comprising steam inlet tube plurality steam dispersion openings adjacent lower end thereof mass filaments surrounding plurality steam dispersion openings solid retaining tube surrounding said mass filaments housing surrounding said solid retaining tube plurality outlet openings therein said housing length longer length said solid retaining tube mesh screen covering plurality outlet openings upper end cap coupled upper end said housing opening therein receiving said steam inlet tube lower end cap coupled lower end said housing devoid openings therein,"January 3, 2014",['Taylor; Gregory']," Boeckmann; Jason
", ,1
2014,14147703,autonomous self propelled vehicle substantially laterally displacing feed situated ground comprising frame housing arranged frame wherein housing comprises feed displacement device displacing feed substantially laterally respect direction travel wherein feed displacement device rotatable respect frame wherein outer periphery housing forms outer periphery vehicle wherein least bottom section feed displacement device cylindrical shape cylinder axis wherein feed displacement device rotationally symmetrical cylinder axis wherein feed displacement device rotatable cylinder axis wherein cylinder axis angle vertical direction manner part feed displacement device which viewed direction travel situated front arranged closer floor part feed displacement device which viewed direction travel situated rear wherein housing upper section tapers towards top wherein upper section conical,"January 6, 2014",['Pastoor; Jan Lambertus']," Boeckmann; Jason
", ,1
2014,14147733,dual stage fire control system suppressing fire comprising first fire suppression unit comprising first container storing first fire suppression agent pressure wherein first fire suppression unit configured generate signal response detected change pressure second fire suppression unit comprising second container storing second fire suppression agent first valve connected second container first valve comprising sealed vessel positioned within interior volume first valve wherein sealed vessel contains compressed gas valve releases compressed gas sealed vessel second container response generated signal pneumatic tube coupling first fire suppression unit first end second fire suppression unit second end wherein signal transmitted first end second end pneumatic tube,"January 6, 2014","['Eckholm; William A.', 'Moran; Dustin C.']"," Kim; Christopher
", ,1
2014,14148358,sprayer assembly engaging additive source comprising dip tube insertion additive source whereby dip tube configured engage additive source housing configured engage dip tube fluid conduit disposed housing coupling dip tube wherein fluid conduit includes dual venturi parallel first inlet second inlet outlet flexible hose first end second end wherein second end connected fluid source fluid therein wherein first inlet connected flexible hose second inlet connected dip tube outlet connected spray nozzle wherein fluid conduit comprises first passageway connecting first inlet outlet second passageway connecting second inlet outlet wherein dual venturi comprises first venturi first passageway second venturi second passageway wherein fluid additive mixed fluid conduit expressed outlet spray nozzle,"January 6, 2014",['Plantz; Jeffrey']," Jonaitis; Justin
", ,1
2014,14149783,fluid flow regulating apparatus comprising body proximal end communication distal end via axial passage formed said body fluid volume restriction chamber formed said body said fluid volume restriction chamber volume defined upper wall annular angled surface removable lower wall side wall disposed said upper wall said lower wall first aperture formed said proximal end second aperture formed said distal end wherein said distal end around said second aperture includes base wall adjacent said side wall wherein circumference said base wall greater circumference said side wall said base wall configured support said apparatus upright freestanding position adapted creating sealed engagement drinking straw sealing member circumferential surface sized translation inside said fluid volume restriction chamber said upper wall said removable lower wall said fluid volume restriction chamber wherein said sealing member movable seated position blocking communication said first aperture said axial passage second position allowing communication said first aperture said axial passage,"January 7, 2014",['Hanners; Jennifer']," Hall; Arthur O
"," Barrera; Juan C
",1
2014,14150208,shower system comprising inlet waterway communication water source top sprayer connected inlet waterway configured provide least two water types comprised of fixed portion comprising outlet components including least two outlet portions corresponding least two water types least two first diversion waterways corresponding respectively least two outlet portions second diversion waterway switch mechanism comprises water diversion body fixed inside fixed portion fixing shaft rotatably extends water diversion body outside top sprayer sealing way defined therein least two first water diversion openings respectively communicate least two first diversion waterways second water diversion opening communicates second diversion waterway rotatable actuator extends partially outside fixed portion accessible coaxially fixed fixing shaft water diversion plate rotatably positioned within water diversion body sealed defined water diversion hole communicates inlet waterway fixed fixing shaft which rotated rotatable actuator drives water diversion plate rotate causing water diversion hole switch communicate variously least two first water diversion openings second water diversion opening hand shower connected second diversion waterway external flexible pipe wherein switch mechanism cooperates inlet waterway least two first diversion waterways second diversion waterway switch output inlet waterway either a one first diversion waterway only b another first diversion waterway only c one another first diversion waterways together d one first diversion waterway second diversion waterway together e another first diversion waterway second diversion waterway together f second diversion waterway only,"January 8, 2014","['Wu; Yulin', 'Fan; Wenbin', 'Cao; Bin', 'Zhou; Huasong']"," Lee; Chee-Chong
", ,1
2014,14150255,side spraying outlet device assembled supporting arm includes inlet waterway comprising first flexible pipe connected supporting arm side spraying component upper end connected inlet waterway via first flexible pipe comprised of fixed housing portion comprising cylindrical housing containing first second diversion waterways side wall upper lower ends least one water spraying nozzle disposed fixed housing portion extending side wall cylindrical housing thereof connected first diversion waterway second flexible pipe connected lower end fixed housing portion hand held shower head connected second flexible pipe inlet waterway via second diversion waterway first valve switch disposed upper end fixed housing portion cooperating first second diversion waterways switch one diversion waterway another diversion waterway control water discharge least one water spraying nozzle hand held shower head plurality suction cup extending side wall fixed housing portion configured mount directly onto wall wherein least one water spraying nozzle disposed side wall cylindrical housing,"January 8, 2014","['Zhang; Mingfu', 'Wu; Yulin', 'Wang; Lei', 'Zhou; Huasong']"," Lee; Chee-Chong
", ,1
2014,14151082,combined pilot valve mechanism wherein comprising fixed portion comprising inlet waterway first outlet waterway second outlet waterway first outlet waterway disposed first outlet second outlet waterway disposed second outlet water diversion body assembled fixed portion water diversion body disposed control hole capable connect two outlet waterways first water diversion hole configured connected second outlet waterway control hole second water diversion hole configured connected second outlet waterway control hole valve spool slidably assembled inside fixed portion valve spool disposed slim hole connected inlet waterway valve spool fixed portion form pressure cavity control hole slim hole connected pressure cavity switching close control hole first water diversion hole second water diversion hole control pressures pressure cavity valve spool driven move alternately close first outlet second outlet inlet waterway switched connect first outlet waterway first water diversion hole second water diversion hole wherein fixed portion comprising valve housing valve body fixed inside valve housing fixed portion comprising fixed pipe internal pipe fixed pipe fixed valve housing connected second outlet waterway internal pipe fixed valve body connected pressure cavity control hole fixed pipe surrounds internal pipe water diversion body fixed fixed pipe two water diversion holes connected fixed pipe,"January 9, 2014","['Wu; Yulin', 'Zhang; Mingfu', 'Cao; Bin', 'Zhou; Huasong']"," Hall; Arthur O
"," Lieuwen; Cody
",1
2014,14151135,pilot valve switch mechanism wherein comprising fixed portion disposed inlet waterway first outlet waterway second outlet waterway control hole capable connect outlet waterways first outlet waterway disposed first outlet second outlet waterway disposed second outlet valve spool slidably assembled inside fixed portion along inlet waterway valve spool disposed slim hole connected inlet waterway valve spool fixed portion form pressure cavity control hole slim hole connected pressure cavity slim hole control hole coaxially aligned other wherein opening closing control hole water pressure pressure cavity controlled drive valve spool move along inlet waterway alternately close first outlet second outlet inlet waterway switched connect first outlet waterway second outlet waterway,"January 9, 2014","['Wu; Yulin', 'Zhang; Mingfu', 'Qiu; Yuehua', 'Zhou; Huasong']"," Hall; Arthur O
"," Lieuwen; Cody
",1
2014,14152203,liquid diffuser device irrigation systems comprising support structure defining first longitudinal axis upper passageway liquid jet lower tubular body substantially transverse bottom wall spherical member associated said bottom wall outer surface predetermined average radius curvature deflector member liquid jet comprising upper plate located predetermined distance said upper passageway lower stem designed introduced said tubular body defining second longitudinal axis wherein said stem end bottom surface designed interact outer surface said spherical member allow rotation said stem relative said tubular body nutation said second axis relative said first axis wherein bottom surface said stem proximate said second axis concave comprises first concave surface portion first radius curvature substantially equal average radius curvature said spherical member define therewith relatively broad substantially uniform mutual contact surface thereby reducing specific pressure wear vibrations said stem said spherical member operation wherein said bottom surface defines second concave surface portion outer periphery first surface portion connected said first concave portion substantially continuous connection line said second concave surface portion second radius curvature larger said first radius prevent rubbing contact said second concave surface portion outer surface said spherical member,"January 10, 2014",['Drechsel; Arno']," Hall; Arthur O
"," Lee; Chee-Chong
",1
2014,14152541,fuel injector comprising coil generating magnetic flux energized stator core generating part magnetic circuit passage magnetic flux stator core generating electromagnetic force movable core moved electromagnetic force valve body moved together movable core valve body opening injection port elastic force applying portion elastically deformable according movement valve body apply elastic force valve body valve closing direction wherein elastic coefficient elastic force applying portion set meet condition ffc ffo ltoreq l times k wherein among fuel pressure valve closing forces applied valve body valve closing direction fuel pressure fuel pressure valve closing force valve body closed referred ffc fuel pressure valve closing force valve body moved position valve body completely opened referred ffo movement distance valve body time point valve body closed time point valve body completely opened referred l elastic coefficient referred k,"January 10, 2014","['Imai; Keita', 'Itoh; Eiji']"," Hall; Arthur O
"," Lee; Chee-Chong
",1
2014,14232725,fuel injection valve comprising valve seat surface abuts valve body seat fuel plurality fuel injection orifices inlet opening formed valve seat surface wherein plurality fuel injection orifices include first injection orifice plurality second injection orifices orifice axes connecting center inlet center outlet second injection orifices symmetrically arranged respect plane symmetry including center axis fuel injection valve center inlet opening first injection orifice separated without contacting plane symmetry plane includes orifice axis connecting center inlet center outlet one second injection orifices parallel center axis fuel injection valve intersects plane including straight line passing center inlet one second injection orifice conical apex forms valve seat surface well center axis fuel injection valve form inclination angle larger degree,"August 5, 2015","['Yasukawa; Yoshihito', 'Abe; Motoyuki', 'Ehara; Hideharu', 'Ishikawa; Tohru', 'Ishii; Eiji']",," Hwu; Davis
",1
2014,14155425,method irrigating area reversible mechanized irrigation system first second ends wherein obstruction first second sides path first end mechanized irrigation system mechanized irrigation system including plurality pipe spans joined together form elongated water pipeline pipe spans supported upon associated drive unit propel water pipeline area irrigated pipe spans water sprinklers thereon drive units including elongated main beam first second ends disposed transversely respect longitudinal axis water pipeline first drive wheel operatively rotatably secured first end main beam generally horizontal axis transversely disposed respect longitudinal axis main beam second drive wheel operatively secured second end main beam generally horizontal axis transversely disposed respect longitudinal axis main beam reversible power unit operatively secured first second drive wheels selectively driving first second drive wheels forward direction reverse direction flexible joint assembly adjacent pipe spans alignment system interconnecting adjacent pipe spans drive units first end water pipeline configured permit first second drive wheels thereon selectively pivotally movable first position wherein rotatable horizontal axis wheel main beam transverse longitudinal axis main beam second position wherein rotatable horizontal axis wheel main beam parallel longitudinal axis main beam comprising steps of operating drive units propel water pipeline area irrigated water pipeline generally aligned position irrigate area therebelow first end water pipeline positioned near first side obstruction stopping power units drive units irrigation area closing water pipeline innermost drive unit first end water pipeline avoids obstruction operating power units drive units obstructed obstruction reverse manner portion water pipeline supported obstructed drive units disposed approximately right angle respect portion water pipeline supported unobstructed drive units pivoting first second drive wheels obstructed drive units first position second position operating irrigating portion water pipeline supported unobstructed drive units power units unobstructed drive units forward direction water pipeline obstructed drive units positioned sufficiently past second side obstruction stopping irrigation portion water pipeline supported obstructed drive units stopping power units obstructed drive units previously actuated pivoting first second drive wheels obstructed drive units second position first position operating power units obstructed drive units forward direction portion water pipeline supported obstructed drive units parallel water pipeline supported unobstructed drive units opening water pipeline innermost drive first end water pipeline avoids obstruction operating reversible power units drive units reverse manner first end water pipeline positioned near second side obstruction operating power units drive units forwardly direction apply irrigating water area,"January 15, 2014",['Charipar; Marvin']," Boeckmann; Jason
", ,1
2014,14155726,method assembling annular injector includes plurality substantially annular nozzles said method comprising providing first bayonet assembly second bayonet assembly include tip end terminal end outer diameter first bayonet assembly inner diameter second bayonet assembly vary tip end define first substantially annular nozzle therebetween configuring first bayonet assembly releasably coupled within second bayonet assembly wherein maximum outer diameter first bayonet assembly greater minimum inner diameter second bayonet assembly least portion least one first bayonet assembly second bayonet assembly extends tip end terminal end,"January 15, 2014","['Stevenson; John Saunders', 'Steele; Raymond Douglas', 'Ma; Roger', 'Sprouse; Kenneth M.']"," Hwu; Davis
", ,1
